ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1445980000001,1,5.0,(800) 586-5735,57.015519949859936,"VW7 N Hermitage @ve, Chi&ago, *Lw%!6E2"
1445980000002,326,2.6306965052518896,,23.36956806906408,"6g33 3rd St, &os*AngW*$s, *# @0@x6"
1445980000003,E760,2.726127169825813,(415) 359-1212,864.3709639771445,"$7!#rP@t! St, San %tanci!co, Cb 94$09"
1445980000004,�p ,4.0,,219.77265523718924,"f97& N i%itoj N%*, IhaD&go, IL g06n8"
1445980000005,���DisiaB L@Cnge ,2.0382423567901524,,164.0,"Z02wW#54th St,INew York,@N!#10019"
1445980000006,s��& T.'s revVeu %f!*ell$KGoWdqCafX &XCrepe,8.621351826049013,,809.8345499890517,"1y37 PostwSt,%San &rancisc%# CA 941I5"
1445980000007,��ireTrea ,4.0,(415) 967-2726,108.26582906793456,"SancFrancSsco, @A 94*09"
1445980000008,1Re Restlurant ,7.795251104776484,,209.2802033180751,"81o$%k%th St, LN@ A$gelUsH $Auhl017"
1445980000009,10thW& Wood ,4.0,,509.9287651355168,"Bt5 Wo%d St@wOekland, $A 9j!07"
1445980000010,11tZ Streesi@afe ,4.702119636362658,,94.0,"3#z W w1th SO, New *oskG&m% 1T*1s"
1445980000011,1xbk in FiiSaorej,4.922684539663501,(415) 771-7100,2100.0126485409155,"1O00 FTll*ore Rz, S#n yraTIisca, CA*9#11m"
1445980000012,1$28 HA%GHT*,5.530447328891172,(415) 864-8484,105.0,"1*I8 uH%ght St,ySaniFranc&scT% CAR94lJ7"
1445980000013,15DtomoHo ,4.0,,1754.1687357334915,"F5 Romolo Pll Sa%tlr@Wci@Ad, !P 9i133"
1445980000014,1601 Jav & Kitchen ,5.041115630465436,,139.0,"160M Hovard St, San*FrancLsco@ CA 94*0Z"
1445980000015,181j Argontinean TUs&aurant ,4.548274536052116,,139.0,"%o5 j 9tx S&, Lws vnge%esE CY 90#1*"
1445980000016,a847!qt she StPmZ HjuUeL,3.3927337709035976,,31.60124327098011,"662& C!%tury%%ve,NMiddle!&n, WI R35T2"
1445980000017,18m5 Raloon anN*Grill ,5.059091542530169,,20.99712134941182,"21@%S. Main Street, C%t!ag* Troie, WV K352!"
1445980000018,2 Wh*te Cre& Clean%n$ ,2.137405109051284,,40.100696477942726,"*0%V N&wo#ore St% Chi#ag!,bIL&60c57"
1445980000019,20 Spot ,5.129599702918558,(415) 624-3140,143.71026112078962,"@56U 20thqSt,&@an FratUAlco, #A 9411h"
1445980000020,2Z Homjq۪o KiKchee ,3.5,,244.12466782136215,"22hE#2ast St, New Yor%**NY %*$#d"
1445980000021,21 D$anXhaiTHouse ,5.530177470842404,(212) 226-8998,59.53770591820963,g1 $ivT&%on S#vZ$ew York& N! 1g00!
1445980000022,23nd S@reNM Cafe ,3.5258775174214603,,174.86077625611898,"936 W%23C$ St, L#$ Angesee, Cc 90007"
1445980000023,24orprN*sNJui&E BhM ,4.5,,51.00361373601827,"20a4 e *rmiba%e Aved CQicamo, IL 6H647"
1445980000024,2# DegreeF ,3.0076608371171867,,876.2357442085907,7d6 N&C&ark SkugChCcagowmIF 60s54
1445980000025,25 Degrees ,3.7044186854771977,(323) 785-7244,1235.595007310936,"7*0D Hol%ywoodB#lvd, Los Ang@%es,x%Art0J28"
1445980000026,25GDe&keeK ,4.0,,2337.3032806122123,"700!$H@llywn%d Blvd, LosoAng%leO, CA *0028"
1445980000027,2nK WinV dxe#c*se ,,,0.0,"*34#Gimmon Glace, MadfDon,LRI$537Q9"
1445980000028,33 Taps ,4.578714069577845,,577.1996479647885,"62C% H!ll#wood Bljd, L!!GA*geles, LAQ90rR8"
1445980000029,q6f9 Writvey Rooftop ,4.645406477312405,,62.82692429445217,"O6G$ N S*e%firld *!W, C&ic%go,$ILa6068m"
1445980000030,4 DTy Furni$Mre ,,,0.0,"463U@E Wasminwton#!#o#$so*,*WI 53z04"
